business_id,owner_id,business_type,environment_type,location,economic_reputation_index,recommendation_priority,recommendation_count,recommendations
B490,O490,Micro Service Business,Semi-Urban,Ahmedabad,72.3,Low,1,Continue monitoring economic performance
B481,O481,Food Vendor,Semi-Urban,Jaipur,55.48,High,4,Improve cash flow management; Reduce operating expenses; Improve payment discipline; Stabilize customer demand
B486,O486,Retail Shop,Urban,Ahmedabad,61.81,Medium,2,Improve cash flow management; Reduce operating expenses
B497,O497,Artisan,Semi-Urban,Bengaluru,67.35,Low,1,Continue monitoring economic performance
B493,O493,Retail Shop,Urban,Indore,66.4,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B495,O495,Retail Shop,Peri-Urban,Delhi,63.82,Medium,1,Continue monitoring economic performance
B484,O484,Retail Shop,Rural,Delhi,70.02,Medium,2,Reduce operating expenses; Strengthen supplier reliability
B491,O491,Food Vendor,Rural,Guwahati,66.87,Low,1,Continue monitoring economic performance
B485,O485,Small Producer,Peri-Urban,Indore,63.59,Medium,1,Improve payment discipline
B499,O499,Home Business,Peri-Urban,Lucknow,68.45,Low,1,Stabilize customer demand
B498,O498,Small Producer,Urban,Mumbai,60.57,Medium,3,Improve cash flow management; Strengthen supplier reliability; Build financial resilience
B492,O492,Micro Service Business,Semi-Urban,Lucknow,69.27,Low,1,Improve cash flow management
B494,O494,Transport Worker,Urban,Delhi,61.65,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B482,O482,Food Vendor,Rural,Guwahati,61.13,Medium,3,Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand
B496,O496,Food Vendor,Rural,Jaipur,64.85,Medium,1,Strengthen supplier reliability
B489,O489,Transport Worker,Semi-Urban,Patna,66.1,Low,1,Continue monitoring economic performance
B487,O487,Micro Service Business,Rural,Bengaluru,71.09,Low,1,Continue monitoring economic performance
B483,O483,Small Producer,Urban,Lucknow,62.01,Medium,2,Improve cash flow management; Strengthen supplier reliability
B488,O488,Freelancer,Peri-Urban,Ahmedabad,77.32,Low,1,Maintain current economic practices
B250,O250,Food Vendor,Rural,Jaipur,65.26,Low,1,Strengthen supplier reliability
B479,O479,Freelancer,Rural,Guwahati,78.68,Low,1,Maintain current economic practices
B151,O151,Retail Shop,Rural,Kochi,67.07,Low,1,Continue monitoring economic performance
B152,O152,Food Vendor,Semi-Urban,Guwahati,61.97,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B153,O153,Retail Shop,Semi-Urban,Delhi,65.19,Low,1,Stabilize customer demand
B154,O154,Retail Shop,Rural,Indore,68.97,Low,1,Reduce operating expenses
B155,O155,Micro Service Business,Rural,Indore,71.56,Low,1,Continue monitoring economic performance
B156,O156,Small Producer,Urban,Patna,67.0,Medium,2,Improve cash flow management; Stabilize customer demand
B157,O157,Retail Shop,Rural,Lucknow,68.23,Low,1,Reduce operating expenses
B158,O158,Transport Worker,Rural,Kochi,72.1,Low,1,Continue monitoring economic performance
B159,O159,Home Business,Urban,Guwahati,68.75,Low,1,Improve cash flow management
B160,O160,Retail Shop,Rural,Ahmedabad,66.97,Low,1,Strengthen supplier reliability
B161,O161,Food Vendor,Rural,Delhi,68.21,Low,1,Continue monitoring economic performance
B162,O162,Freelancer,Semi-Urban,Kochi,72.36,Low,1,Continue monitoring economic performance
B150,O150,Home Business,Rural,Ahmedabad,71.17,Low,1,Continue monitoring economic performance
B163,O163,Home Business,Urban,Guwahati,66.33,Low,1,Strengthen supplier reliability
B165,O165,Home Business,Urban,Bengaluru,62.9,Medium,2,Improve cash flow management; Stabilize customer demand
B166,O166,Micro Service Business,Urban,Indore,69.55,Low,1,Continue monitoring economic performance
B167,O167,Retail Shop,Urban,Ahmedabad,70.9,Medium,2,Improve cash flow management; Reduce operating expenses
B168,O168,Retail Shop,Rural,Indore,63.92,Medium,2,Improve payment discipline; Strengthen supplier reliability
B169,O169,Micro Service Business,Rural,Ahmedabad,73.68,Low,1,Stabilize customer demand
B170,O170,Food Vendor,Rural,Patna,61.87,Medium,1,Improve payment discipline
B171,O171,Retail Shop,Urban,Lucknow,66.54,Low,1,Continue monitoring economic performance
B172,O172,Food Vendor,Urban,Ahmedabad,59.05,Medium,3,Improve cash flow management; Improve payment discipline; Strengthen supplier reliability
B173,O173,Micro Service Business,Peri-Urban,Indore,64.06,Medium,1,Strengthen supplier reliability
B174,O174,Food Vendor,Semi-Urban,Patna,57.09,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B175,O175,Food Vendor,Rural,Ahmedabad,63.27,Medium,2,Improve cash flow management; Reduce operating expenses
B176,O176,Food Vendor,Urban,Jaipur,61.48,Medium,2,Improve cash flow management; Improve payment discipline
B164,O164,Retail Shop,Semi-Urban,Jaipur,70.63,Low,1,Reduce operating expenses
B177,O177,Small Producer,Urban,Lucknow,65.72,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B149,O149,Artisan,Peri-Urban,Bengaluru,69.92,Low,1,Strengthen supplier reliability
B147,O147,Retail Shop,Urban,Kochi,66.68,Low,1,Improve cash flow management
B121,O121,Transport Worker,Semi-Urban,Patna,60.99,High,4,Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B122,O122,Food Vendor,Semi-Urban,Indore,65.95,Low,1,Stabilize customer demand
B123,O123,Freelancer,Rural,Lucknow,79.0,Low,1,Maintain current economic practices
B124,O124,Food Vendor,Semi-Urban,Patna,64.81,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B125,O125,Transport Worker,Urban,Bengaluru,63.12,Medium,1,Stabilize customer demand
B126,O126,Transport Worker,Semi-Urban,Kochi,61.39,Medium,1,Improve payment discipline
B127,O127,Home Business,Peri-Urban,Kochi,72.92,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B128,O128,Transport Worker,Peri-Urban,Bengaluru,60.41,High,5,Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand; Strengthen business continuity; Build financial resilience
B129,O129,Food Vendor,Urban,Guwahati,58.69,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B130,O130,Freelancer,Peri-Urban,Patna,74.07,Low,1,Continue monitoring economic performance
B131,O131,Retail Shop,Rural,Patna,69.09,Low,1,Continue monitoring economic performance
B132,O132,Food Vendor,Peri-Urban,Bengaluru,59.86,Medium,2,Improve payment discipline; Strengthen supplier reliability
B148,O148,Transport Worker,Peri-Urban,Jaipur,60.77,High,5,Improve cash flow management; Strengthen supplier reliability; Stabilize customer demand; Strengthen business continuity; Build financial resilience
B133,O133,Micro Service Business,Urban,Mumbai,60.5,Medium,2,Improve cash flow management; Reduce operating expenses
B135,O135,Food Vendor,Rural,Delhi,66.74,Low,1,Continue monitoring economic performance
B136,O136,Retail Shop,Urban,Bengaluru,67.55,Low,1,Continue monitoring economic performance
B137,O137,Transport Worker,Peri-Urban,Lucknow,70.69,Low,1,Continue monitoring economic performance
B138,O138,Retail Shop,Rural,Lucknow,68.47,Low,1,Reduce operating expenses
B139,O139,Retail Shop,Rural,Indore,68.66,Low,1,Continue monitoring economic performance
B140,O140,Artisan,Rural,Bengaluru,66.83,Low,1,Stabilize customer demand
B141,O141,Retail Shop,Urban,Indore,68.25,Low,1,Continue monitoring economic performance
B142,O142,Transport Worker,Rural,Bengaluru,68.08,Low,1,Continue monitoring economic performance
B143,O143,Micro Service Business,Peri-Urban,Patna,69.5,Low,1,Continue monitoring economic performance
B144,O144,Retail Shop,Rural,Delhi,68.29,Low,1,Continue monitoring economic performance
B145,O145,Artisan,Semi-Urban,Patna,61.79,Medium,3,Improve cash flow management; Improve payment discipline; Strengthen supplier reliability
B146,O146,Artisan,Rural,Ahmedabad,63.36,Medium,1,Stabilize customer demand
B134,O134,Artisan,Semi-Urban,Ahmedabad,69.43,Low,1,Continue monitoring economic performance
B120,O120,Retail Shop,Urban,Lucknow,63.98,Medium,2,Improve cash flow management; Stabilize customer demand
B178,O178,Transport Worker,Urban,Ahmedabad,62.55,Medium,2,Improve cash flow management; Stabilize customer demand
B180,O180,Small Producer,Urban,Kochi,64.5,Medium,1,Continue monitoring economic performance
B211,O211,Artisan,Peri-Urban,Delhi,73.42,Low,1,Strengthen supplier reliability
B212,O212,Food Vendor,Urban,Guwahati,62.49,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B213,O213,Freelancer,Semi-Urban,Delhi,75.52,Low,1,Maintain current economic practices
B214,O214,Freelancer,Urban,Guwahati,72.54,Low,1,Continue monitoring economic performance
B215,O215,Artisan,Peri-Urban,Jaipur,69.78,Low,1,Continue monitoring economic performance
B216,O216,Small Producer,Rural,Bengaluru,66.21,Low,1,Strengthen business continuity
B217,O217,Small Producer,Urban,Jaipur,62.74,Medium,1,Improve cash flow management
B218,O218,Transport Worker,Semi-Urban,Delhi,67.76,Low,1,Continue monitoring economic performance
B219,O219,Small Producer,Peri-Urban,Bengaluru,56.39,High,4,Improve cash flow management; Reduce operating expenses; Improve payment discipline; Strengthen supplier reliability
B220,O220,Transport Worker,Rural,Jaipur,62.53,Medium,2,Improve payment discipline; Stabilize customer demand
B221,O221,Small Producer,Rural,Mumbai,63.8,Medium,1,Strengthen supplier reliability
B222,O222,Artisan,Urban,Delhi,63.61,Medium,1,Stabilize customer demand
B210,O210,Small Producer,Urban,Bengaluru,58.83,Medium,2,Improve cash flow management; Strengthen business continuity
