business_id,owner_id,business_type,environment_type,location,month,monthly_income,monthly_expenses,transaction_count,digital_payment_pct,supplier_payment_amount,utility_payment_amount,rent_payment,savings_amount,net_cash_flow,payment_discipline_pct,supplier_reliability_pct,business_continuity_pct,demand_stability_pct,seasonal_factor,seasonally_adjusted_income,shock_type,shock_factor,adjusted_income,adjusted_expenses,adjusted_cash_flow,cash_flow_margin_pct,expense_burden_pct,operational_stability_pct,financial_health_pct,resilience_pct,economic_reputation_index
B001,O001,Small Producer,Rural,Patna,2024-01-01,28232.13,20097.6,61,36.62,6822.95,1740.41,3533.82,399.91,2860.3,70.84,77.22,77.39,73.27,0.95,26820.52,None,1.0,26820.52,20097.6,1448.69,5.4,74.93,74.68,27.66,75.96,57.71
B001,O001,Small Producer,Rural,Patna,2024-02-01,30774.11,19325.85,61,23.46,7602.88,1513.32,4819.54,961.85,5115.4,70.99,89.33,83.8,76.29,0.97,29850.89,None,1.0,29850.89,19325.85,4192.18,14.04,64.74,80.1,34.64,83.14,62.98
B001,O001,Small Producer,Rural,Patna,2024-03-01,31252.98,20911.7,77,43.26,8474.66,1742.62,4142.26,852.05,4456.4,75.25,71.17,76.42,67.41,1.0,31252.98,None,1.0,31252.98,20911.7,4456.4,14.26,66.91,72.56,35.16,71.67,59.83
B001,O001,Small Producer,Rural,Patna,2024-04-01,37389.18,23891.42,55,46.95,9008.03,2039.76,4523.88,1191.78,6934.12,81.06,82.35,79.07,73.02,1.02,38136.96,None,1.0,38136.96,23891.42,7681.9,20.14,62.65,78.88,40.53,78.15,65.75
B001,O001,Small Producer,Rural,Patna,2024-05-01,34419.97,20059.14,74,36.71,8257.39,1517.2,4261.72,1406.07,8581.91,74.54,78.87,77.85,76.99,1.05,36140.97,None,1.0,36140.97,20059.14,10302.91,28.51,55.5,77.06,44.81,77.9,65.44
B001,O001,Small Producer,Rural,Patna,2024-06-01,32110.45,20492.95,71,39.98,8783.07,1890.35,4084.74,747.34,5642.41,83.68,65.45,82.19,66.45,1.08,34679.29,None,1.0,34679.29,20492.95,8211.25,23.68,59.09,74.44,43.85,71.36,64.97
B001,O001,Small Producer,Rural,Patna,2024-07-01,43084.03,29451.59,76,45.47,12331.07,2266.27,4122.13,1987.48,7244.04,73.27,87.81,69.66,68.2,1.03,44376.55,None,1.0,44376.55,29451.59,8536.56,19.24,66.37,74.74,37.06,75.22,61.35
B001,O001,Small Producer,Rural,Patna,2024-08-01,32676.36,22864.66,80,39.84,9116.87,1885.28,4485.98,474.25,3440.44,75.61,75.1,77.92,96.53,1.0,32676.36,None,1.0,32676.36,22864.66,3440.44,10.53,69.97,81.29,32.65,83.18,63.51
B001,O001,Small Producer,Rural,Patna,2024-09-01,39084.86,26147.89,78,40.06,9751.37,2053.81,4016.24,1408.23,6866.92,68.48,86.69,76.95,74.43,0.98,38303.16,None,1.0,38303.16,26147.89,6085.22,15.89,68.27,76.64,33.79,79.36,60.55
B001,O001,Small Producer,Rural,Patna,2024-10-01,40673.88,29558.53,80,22.73,12610.46,2712.41,3892.59,826.93,4510.35,75.06,64.98,82.27,77.68,1.1,44741.27,None,1.0,44741.27,29558.53,8577.74,19.17,66.07,75.0,37.57,74.98,61.91
